entry,GY,TKW,GPS,SPMS,GPMS,PH,SL,DFF,FLW,FLL,FLA,ESV
1,1613.190086,47.91615,39.23682,205.5131,7136.853575,96.48813434,9.3054375,142.37622,1.5021325,22.22555,26.106325,0.68
2,1721.536636,49.2185,41.83785,221.616625,8284.455475,99.01475799,9.40405,144.40584,1.63203925,22.2993625,30.448545,0.6
3,1719.11815,47.75041,41.397901,229.9589,7489.420075,97.60258555,8.270675,144.37026,1.56961,22.650475,26.99655,0.67
4,1646.952936,48.983025,39.646975,223.535425,7781.956675,104.8451339,9.7383725,143.13614,1.5,22,28,0.66
5,1667.508107,47.327,39.34576,216.386725,7987.595,102.4632472,8.181575,144.015154,1.546915,22.458625,27.7885625,0.64
6,1716.524864,48.3165375,41.45416,226.9088,7673.33185,96.15263094,8.870925,143.19056,1.604235,22.73735,29.446325,0.64
7,1665.488329,47.2886,37.27795,216.3588,8496.284075,95.86299616,8.4988775,145.7548,1.604175,22.108475,29.367125,0.67
8,1637.296757,46.15875,38.6199075,219.717225,7904.389575,93.3692781,8.775775,144.868914,1.50723375,21.168875,26.128925,0.62
9,1562.990429,47.2174,37.9827075,198.0451,7750.28365,95.98081121,9.12186,145.731524,1.6682175,21.554275,30.053275,0.65
10,1649.171321,46.2283,37.1199525,186.00475,7535.570025,96.22164812,8.507525,144.31762,1.4735625,22.969175,26.107525,0.67
11,1630.617843,47.49495,37.004184,199.0317,7766.067725,98.77720926,8.9582725,145.07402,1.60876825,23.897975,31.7199,0.66
12,1697.18745,49.698925,39.38821,205.169715,7983.0481,97.51519289,8.5088525,144.8723872,1.665495,22.658625,30.598825,0.68
13,1731.574771,49.5542,40.9973975,223.467575,8161.725,98.15621692,8.9080875,144.626754,1.53427,23.8493,29.621125,0.64
14,1687.7483,45.2363,36.65392,208.5781,8293.7525,95.57386874,8.428825,145.0227,1.5839775,22.463125,29.4733525,0.67
15,1735.031257,46.141825,38.745127,208.43895,8235.795,92.58577421,8.097,145.03766,1.560365,21.4622,27.37795,0.64
16,1661.413471,46.80145,38.449855,205.89685,7892.739025,95.95438889,9.003205,145.88412,1.7195125,22.0724575,31.911375,0.67
17,1612.600471,47.45878,41.270275,234.371625,7599.735,92.26396621,8.371535,143.03552,1.565675,22.13945,26.11895,0.67
18,1591.4739,47.34545,39.026475,213.055075,7599.356225,90.75979177,9.163275,146.50046,1.62059675,21.424825,28.621725,0.64
19,1585.293471,45.4924,37.098975,199.406725,7868.1425,91.59752516,9.00785,145.5428,1.671355,21.49355,30.59255,0.64
20,1617.364764,47.54195,37.1187,186.907475,8004.372025,98.64940462,8.519225,142.60984,1.51081,23.4751,29.40805,0.68
21,1666.736071,50.388325,38.14345,203.081525,8142.565175,100.0280525,8.9656975,144.80444,1.70379,24.013825,32.3369,0.64
22,1552.122229,46.041875,37.94875,204.075825,7603.426325,94.28385407,8.709695,143.2883,1.4862775,21.478525,26.0533,0.64
23,1708.042786,46.959175,41.1034325,214.834025,7222.761275,96.81025126,8.791475,144.780294,1.5272675,22.4317,27.813945,0.62
24,1552.835943,46.774425,37.7311,200.968725,7749.126075,99.75467227,9.1388275,146.309152,1.54476,22.2938,26.76845,0.65
25,1595.403864,46.2739925,37.064275,199.99395,8319.448725,98.16110448,8.790965,143.73438,1.6229825,23.527625,29.04415,0.67
26,1767.865693,45.420375,39.905725,241.89215,7881.569125,93.277764,9.0515975,144.961194,1.55534,22.068025,27.80815,0.65
27,1670.712036,46.197925,37.5424225,205.6867,7665.752975,92.96496613,8.614615,144.52768,1.6066875,20.0168,27.6597,0.65
28,1690.760179,46.690425,38.0897275,224.9068,7866.5166,92.32938297,8.6266525,144.50328,1.61672,20.5777,26.1598,0.68
29,1605.14495,48.188675,37.5325725,195.428775,7607.38675,93.57299812,8.69755,144.84538,1.468065,21.5884125,24.740325,0.69
30,1687.941871,49.422,38.1225075,203.5312,8023.74,94.85443487,8.25655,144.200574,1.48333,21.280425,25.682875,0.68
31,1596.266079,47.935425,38.0887875,204.900675,8010.568325,92.55728217,8.4940975,144.39298,1.6761175,21.919375,27.9259,0.7
32,1613.675879,46.564225,36.789875,190.61365,7636.342475,89.32007135,8.1985225,144.30508,1.46529,20.1339,24.614175,0.63
33,1657.981643,49.17735,37.0397275,197.08115,9403.4,99.11498941,8.34535,145.99418,1.7331475,23.897975,33.383425,0.69
34,1590.04975,46.6475,37.254685,205.228775,7717.835,87.99836654,8.438775,145.40978,1.7126,19.891,27.396125,0.66
35,1651.1866,47.56485,39.184735,228.52405,7678.97045,90.69223048,8.4060225,143.7941,1.5314175,20.9463,24.9378,0.68
36,1628.963336,46.8995525,38.6511425,210.04485,7856.2364,94.88032533,8.7915375,145.4136,1.71585,20.77425,28.9954225,0.66
37,1664.66275,49.18835,40.981635,232.7057,7617.93,93.47562976,8.8543625,144.516812,1.462365,20.6982,24.73675,0.68
