NSFTV_ID,timepoint,wu
NSFTV_10,1,0.86
NSFTV_101,1,0.92
NSFTV_102,1,0.81
NSFTV_103,1,0.84
NSFTV_104,1,0.89
NSFTV_105,1,0.87
NSFTV_106,1,0.9
NSFTV_107,1,0.87
NSFTV_108,1,0.84
NSFTV_109,1,0.86
NSFTV_11,1,0.89
NSFTV_112,1,0.84
NSFTV_113,1,0.85
NSFTV_114,1,0.85
NSFTV_116,1,0.85
NSFTV_117,1,0.88
NSFTV_118,1,0.85
NSFTV_120,1,0.92
NSFTV_121,1,0.81
NSFTV_122,1,0.9
NSFTV_123,1,0.88
NSFTV_124,1,0.87
NSFTV_125,1,0.9
NSFTV_128,1,0.9
NSFTV_129,1,0.85
NSFTV_13,1,0.9
NSFTV_130,1,0.86
NSFTV_131,1,0.84
NSFTV_132,1,0.91
NSFTV_133,1,0.87
NSFTV_134,1,0.89
NSFTV_135,1,0.91
NSFTV_139,1,0.85
NSFTV_14,1,0.92
NSFTV_140,1,0.88
NSFTV_141,1,0.85
NSFTV_142,1,0.84
NSFTV_143,1,0.86
NSFTV_144,1,0.82
NSFTV_145,1,0.91
NSFTV_146,1,0.8
NSFTV_147,1,0.84
NSFTV_148,1,0.87
NSFTV_149,1,0.88
NSFTV_15,1,0.86
NSFTV_150,1,0.85
NSFTV_151,1,0.82
NSFTV_152,1,0.91
NSFTV_153,1,0.9
NSFTV_154,1,0.87
NSFTV_155,1,0.87
NSFTV_156,1,0.88
NSFTV_157,1,0.79
NSFTV_158,1,0.85
NSFTV_159,1,0.8
NSFTV_16,1,0.89
NSFTV_160,1,0.92
NSFTV_161,1,0.88
NSFTV_162,1,0.8
NSFTV_163,1,0.84
NSFTV_164,1,0.84
NSFTV_165,1,0.88
NSFTV_166,1,0.94
NSFTV_167,1,0.86
NSFTV_168,1,0.86
NSFTV_169,1,0.89
NSFTV_17,1,0.9
NSFTV_171,1,0.92
NSFTV_172,1,0.87
NSFTV_173,1,0.9
NSFTV_174,1,0.84
NSFTV_176,1,0.85
NSFTV_177,1,0.87
NSFTV_179,1,0.82
NSFTV_18,1,0.82
NSFTV_180,1,0.87
NSFTV_182,1,0.86
NSFTV_183,1,0.82
NSFTV_184,1,0.94
NSFTV_185,1,0.89
NSFTV_186,1,0.88
NSFTV_187,1,0.89
NSFTV_188,1,0.83
NSFTV_189,1,0.82
NSFTV_19,1,0.85
NSFTV_190,1,0.91
NSFTV_191,1,0.87
NSFTV_192,1,0.85
NSFTV_193,1,0.87
NSFTV_195,1,0.84
NSFTV_198,1,0.89
NSFTV_199,1,0.88
NSFTV_200,1,0.84
NSFTV_202,1,0.87
NSFTV_203,1,0.86
NSFTV_205,1,0.89
NSFTV_206,1,0.89
NSFTV_207,1,0.95
NSFTV_208,1,1.02
NSFTV_209,1,0.92
NSFTV_21,1,0.88
NSFTV_211,1,0.83
NSFTV_213,1,0.9
NSFTV_214,1,0.86
NSFTV_215,1,0.8
NSFTV_216,1,0.8
NSFTV_217,1,0.91
NSFTV_218,1,0.9
NSFTV_219,1,0.81
NSFTV_220,1,0.8
NSFTV_221,1,0.91
NSFTV_222,1,0.87
NSFTV_223,1,0.88
NSFTV_224,1,0.88
NSFTV_225,1,0.91
NSFTV_226,1,0.86
NSFTV_227,1,0.9
NSFTV_228,1,0.87
NSFTV_229,1,0.86
NSFTV_23,1,0.88
NSFTV_231,1,0.93
NSFTV_233,1,0.9
NSFTV_234,1,0.88
NSFTV_235,1,0.85
NSFTV_236,1,0.9
NSFTV_237,1,0.89
NSFTV_239,1,0.86
NSFTV_24,1,0.85
NSFTV_240,1,0.85
NSFTV_241,1,0.89
NSFTV_242,1,0.85
NSFTV_243,1,0.83
NSFTV_244,1,0.86
NSFTV_245,1,0.93
NSFTV_246,1,0.88
NSFTV_247,1,0.84
NSFTV_248,1,0.91
NSFTV_25,1,0.93
NSFTV_250,1,0.9
NSFTV_251,1,0.91
NSFTV_252,1,0.85
NSFTV_253,1,0.89
NSFTV_254,1,0.89
NSFTV_255,1,0.92
NSFTV_256,1,0.86
NSFTV_257,1,0.93
NSFTV_259,1,0.89
NSFTV_26,1,0.9
NSFTV_260,1,0.86
NSFTV_261,1,0.9
NSFTV_262,1,0.85
NSFTV_263,1,0.91
NSFTV_264,1,0.87
NSFTV_265,1,0.87
NSFTV_266,1,0.89
NSFTV_267,1,0.9
NSFTV_268,1,0.87
NSFTV_269,1,0.84
NSFTV_27,1,0.86
NSFTV_270,1,0.86
NSFTV_271,1,0.83
NSFTV_272,1,0.84
NSFTV_273,1,0.85
NSFTV_274,1,0.89
NSFTV_275,1,0.84
NSFTV_277,1,0.88
NSFTV_278,1,0.85
NSFTV_279,1,0.84
NSFTV_280,1,0.87
NSFTV_281,1,0.89
NSFTV_282,1,0.9
NSFTV_283,1,0.8
NSFTV_284,1,0.89
NSFTV_285,1,0.83
NSFTV_286,1,0.81
NSFTV_287,1,0.87
NSFTV_288,1,0.86
NSFTV_289,1,0.87
NSFTV_29,1,0.88
NSFTV_290,1,0.81
NSFTV_291,1,0.9
NSFTV_292,1,0.84
NSFTV_293,1,0.84
NSFTV_295,1,0.89
NSFTV_296,1,0.92
NSFTV_297,1,0.82
NSFTV_298,1,0.87
NSFTV_299,1,0.86
NSFTV_3,1,0.87
NSFTV_30,1,0.89
NSFTV_300,1,0.85
NSFTV_301,1,0.84
NSFTV_302,1,0.92
NSFTV_303,1,0.85
NSFTV_304,1,0.9
NSFTV_305,1,0.86
NSFTV_306,1,0.9
NSFTV_307,1,0.9
NSFTV_31,1,0.95
NSFTV_310,1,0.89
NSFTV_311,1,0.84
NSFTV_312,1,0.85
NSFTV_313,1,0.83
NSFTV_314,1,0.89
NSFTV_315,1,0.89
NSFTV_316,1,0.95
NSFTV_317,1,0.86
NSFTV_318,1,0.89
NSFTV_32,1,0.8
NSFTV_320,1,0.89
NSFTV_322,1,0.9
NSFTV_323,1,0.91
NSFTV_324,1,0.81
NSFTV_325,1,0.81
NSFTV_326,1,0.87
NSFTV_327,1,0.86
NSFTV_328,1,0.89
NSFTV_329,1,0.85
NSFTV_33,1,0.83
