Location,Year,Precp
Mead,2015,45.72
Lincoln,2014,43.18
Mead,2014,43.18
Mead,2016,43.18
Clay Center,2014,38.227
Lincoln,2015,35.56
Clay Center,2016,32.258
Lincoln,2016,31.75
Clay Center,2015,30.353
Lincoln,2013,26.67
Mead,2013,25.273
Clay Center,2013,24.892
Mead,2012,24.13
Sidney,2015,24.13
Clay Center,2012,24.003
Lincoln,2012,22.86
Grant,2015,22.86
North Platte,2015,22.86
North Platte,2014,21.59
Sidney,2016,21.59
Sidney,2013,20.32
Grant,2016,20.32
North Platte,2016,20.32
Grant,2013,19.05
Grant,2014,19.05
North Platte,2013,17.78
Sidney,2014,16.51
Grant,2012,11.43
North Platte,2012,11.43
Sidney,2012,10.16
