HybID	NSFTVID	Flowering time at Arkansas	Flowering time at Faridpur	Flowering time at Aberdeen	FT ratio of Arkansas/Aberdeen	FT ratio of Faridpur/Aberdeen	Culm habit	Leaf pubescence	Flag leaf length	Flag leaf width	Awn presence	Panicle number per plant	Plant height	Panicle length	Primary panicle branch number	Seed number per panicle	Florets per panicle	Panicle fertility	Seed length	Seed width	Seed volume	Seed surface area	Brown rice seed length	Brown rice seed width	Brown rice surface area	Brown rice volume	Seed length/width ratio	Brown rice length/width ratio	Seed color 	Pericarp color	Straighthead suseptability 	Blast resistance	Amylose content	Alkali spreading value	Protein content	Year07Flowering time at Arkansas	Year06Flowering time at Arkansas
081215-A05	1	75.08333333	64	81	0.926954733	0.790123457	4	1	28.375	1.283333333	0	3.068052935	110.9166667	20.48181818	9.272727273	4.785975442	4.914658225	0.879	8.064116667	3.685183333	2.587447569	3.914120138	5.794541667	3.113958333	3.51115158	7.737358333	2.188	1.861	0	0	4.833333334	8	15.61333333	6.083333334	8.45	73	77.16666667
081215-A06	3	89.5	66	83	1.078313253	0.795180723	7.5	0	39.00833333	1	0	4.051784948	143.5	26.83333333	9.166666667	4.439705746	4.727387819	0.75	7.705383333	2.951458333	2.111145089	3.658708865	5.603658333	2.56645	3.287373062	5.10535	2.611	2.183	0	0	7.831666667	4	23.26	5.638888889	9.2	88	91
081215-A07	4	94.5	67	93	1.016129032	0.720430108	6	1	27.68333333	1.516666667	0	3.124565145	128.0833333	23.53333333	8.666666667	5.07970897	5.146436835	0.935	8.237575	2.926366667	2.154758678	3.713855969	6.120341667	2.466983333	3.334125877	5.126958333	2.815	2.481	0	0	NA	3	23.12	5.527777778	8	105.5	83.5
081215-A08	5	87.5	70	108	0.810185185	0.648148148	3.5	1	30.41666667	0.891666667	0	3.697178257	153.75	28.96363636	6.363636364	4.523960131	4.730921391	0.813	9.709375	2.3821	1.94022138	3.700053664	7.089883333	2.044608333	3.297791744	4.085133333	4.076	3.468	0	0	8.333333334	5	19.32333333	6.027777778	9.6	86.5	88.5
090414-A09	6	89.08333333	73	101	0.882013201	0.722772277	6	1	36.90833333	1.75	0	2.857427602	148.3333333	30.91666667	11.16666667	5.538645743	5.676468373	0.871	7.118183333	3.281891667	2.202359519	3.657370297	5.136483333	2.803858333	3.284327991	5.555183333	2.169	1.832	0	0	8.166666667	3	23.24	5.444444445	8.5	85.5	92.66666667
090414-A10	7	105	NA	158	0.664556962	NA	3	1	36.99	1.55	1	2.859021228	119.6	24.625	13.33333333	5.338018733	5.43590303	0.907	7.347254545	2.528890909	1.774465329	3.474791087	5.485345455	2.188881818	3.101568676	3.591045455	2.905	2.506	0	0	8.585	2	20.18666667	6	11.75	105	NA
090105-A02	8	101.5833333	74	122	0.832650273	0.606557377	2.5	NA	41.95	1.858333333	0	2.621038824	147.4166667	31.5	12.22222222	5.54691205	5.794705943	0.781	8.572091667	2.654675	2.044537332	3.691182217	6.510433333	2.241341667	3.304196579	4.524383333	3.229	2.905	0	0	6.998333334	2	22.195	6.75	8.7	97.5	105.6666667
090105-A03	9	73	75	81	0.901234568	0.925925926	6.5	1	24.425	1.2125	1	2.924504764	128.875	20.2	7.875	4.620058798	4.739482524	0.887	7.679875	3.3821875	2.352660146	3.768963219	5.459725	2.917775	3.385437596	6.3641875	2.271	1.871	0	0	7.168333334	9	22.56333333	5.25	9.9	71	79
090325-A05	10	89	55	74	1.202702703	0.743243243	3	NA	27.9	1	1	3.650658241	83	22.16666667	10.33333333	4.110873864	4.733270189	0.537	7.859	3.23325	2.265360786	3.729249146	5.088266667	2.937733333	3.309969856	5.9129	2.431	1.732	0	0	3.33	2	15.09666667	7	9.5	89	NA
090414-A11	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	1	22.76333333	7	NA	NA	NA
090226-A10	13	100.3333333	73	94	1.067375887	0.776595745	6	1	37.875	1.225	1	3.493134877	135.1666667	25.49	8.6	4.907494535	5.017279837	0.896	8.36956	2.73408	2.007076473	3.639387431	5.91732	2.38245	3.265614362	4.63269	3.061	2.484	0	0	NA	6	25.255	4.708333334	8.05	105	95.66666667
081215-A10	14	97	75	178	0.54494382	0.421348315	2.333333333	1	30.23333333	0.911111111	0	3.753417975	117.8888889	28.85	10.83333333	4.578569504	5.01146828	0.649	9.3015125	2.3113625	1.845853006	3.626343926	6.869485714	1.959057143	3.221024942	3.6672	4.024	3.507	0	0	6.335	1	17.27	6.333333333	NA	97	NA
090414-A12	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.33	9	17.705	7	7.5	NA	NA
